DGUID,CTUID,population_2021,LANDAREA_km2,area_km2_calc,population_density_km2,pop_density_calc,signed_diff_derived_minus_official,abs_diff,relative_diff_pct,abs_relative_diff_pct,geometry_minus_landarea_km2,geometry_to_landarea_ratio,bbox_center_x_epsg3347,bbox_center_y_epsg3347,quadrant,southern_quartile
2021S05075350065.02,5350065.02,11120,0.1434,0.150410,77545.3,73931.4062,-3613.8938,3613.8938,-4.660365,4.660365,0.007010,1.048884,7225319.25,930675.90625,East-South,false
2021S05075350062.04,5350062.04,8524,0.1215,0.127455,70156.4,66878.3771,-3278.0229,3278.0229,-4.672450,4.672450,0.005955,1.049012,7224410.00,929805.03125,East-South,true
2021S05075350128.06,5350128.06,4870,0.0858,0.090005,56759.9,54108.0631,-2651.8369,2651.8369,-4.672025,4.672025,0.004205,1.049009,7223119.25,933655.06250,East-South,false
2021S05075350063.03,5350063.03,4869,0.0934,0.097940,52130.6,49713.9219,-2416.6781,2416.6781,-4.635815,4.635815,0.004540,1.048608,7224627.25,930550.53125,East-South,false
2021S05075350063.05,5350063.05,6551,0.1299,0.136255,50431.1,48078.8178,-2352.2822,2352.2822,-4.664348,4.664348,0.006355,1.048922,7224390.50,930422.93750,East-South,false
2021S05075350194.01,5350194.01,7821,0.2711,0.293833,28849.1,26617.1662,-2231.9338,2231.9338,-7.736580,7.736580,0.022733,1.083855,7227188.50,934763.68750,East-North,false
2021S05075350307.06,5350307.06,5057,0.1042,0.109161,48531.7,46326.0244,-2205.6756,2205.6756,-4.544814,4.544814,0.004961,1.047610,7219748.75,941882.68750,West-North,false
2021S05075350044.02,5350044.02,4255,0.0932,0.097825,45654.5,43496.2574,-2158.2426,2158.2426,-4.727338,4.727338,0.004625,1.049624,7221708.00,926828.40625,West-South,true
2021S05075350062.01,5350062.01,4843,0.1068,0.112061,45346.4,43217.4232,-2128.9768,2128.9768,-4.694919,4.694919,0.005261,1.049260,7224162.75,930277.59375,East-South,false
2021S05075350210.04,5350210.04,10080,0.4751,0.526914,21216.6,19130.2514,-2086.3486,2086.3486,-9.833567,9.833567,0.051814,1.109059,7218014.50,924287.84375,West-South,true
2021S05075350307.03,5350307.03,4957,0.1101,0.115364,45022.7,42968.2428,-2054.4572,2054.4572,-4.563159,4.563159,0.005264,1.047811,7219876.00,941348.46875,West-North,false
2021S05075350307.04,5350307.04,6919,0.1530,0.160261,45222.2,43173.4253,-2048.7747,2048.7747,-4.530462,4.530462,0.007261,1.047458,7220148.00,940706.18750,West-North,false
2021S05075350034.01,5350034.01,5337,0.1245,0.130635,42867.5,40854.1606,-2013.3394,2013.3394,-4.696657,4.696657,0.006135,1.049277,7224946.75,929603.18750,East-South,true
2021S05075350136.02,5350136.02,8740,0.2101,0.220298,41599.2,39673.5964,-1925.6036,1925.6036,-4.628944,4.628944,0.010198,1.048539,7222658.50,934731.15625,East-North,false
2021S05075350102.02,5350102.02,4561,0.1157,0.121323,39420.9,37593.9962,-1826.9038,1826.9038,-4.634353,4.634353,0.005623,1.048600,7218052.00,927610.28125,West-South,true
2021S05075350136.01,5350136.01,7267,0.1920,0.201236,37849.0,36111.7579,-1737.2421,1737.2421,-4.589929,4.589929,0.009236,1.048104,7222533.25,935025.96875,West-North,false
2021S05075350225.02,5350225.02,10827,0.3045,0.319752,35556.7,33860.6625,-1696.0375,1696.0375,-4.769952,4.769952,0.015252,1.050089,7213198.75,925412.37500,West-South,true
2021S05075350300.02,5350300.02,7505,0.2063,0.216165,36379.1,34718.8631,-1660.2369,1660.2369,-4.563711,4.563711,0.009865,1.047819,7220630.75,939845.78125,West-North,false
2021S05075350063.04,5350063.04,4778,0.1409,0.147814,33910.6,32324.3820,-1586.2180,1586.2180,-4.677647,4.677647,0.006914,1.049070,7224885.50,930069.40625,East-South,false
2021S05075350011.02,5350011.02,9746,0.2877,0.301804,33875.6,32292.5293,-1583.0707,1583.0707,-4.673189,4.673189,0.014104,1.049023,7224279.50,927995.37500,East-South,true
