CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,DATA_QUALITY_FLAG,population_2021,population_density_km2,age_65_plus_pct,average_household_size,median_total_income_2020,low_income_lim_at_pct,renter_households_pct,shelter_cost_30pct_plus_pct,bachelor_or_higher_age25_64_pct,unemployment_rate_pct
2021,2021S05070010001.00,0010001.00,Census tract,0010001.00,00000,1643,161.9,19.5,2.3,32400,23.5,28.5,19.4,8.7,14.1
2021,2021S05070010002.00,0010002.00,Census tract,0010002.00,00000,4451,2266.5,25.7,2,38800,16,41.1,23.3,38.3,13.2
2021,2021S05070010003.01,0010003.01,Census tract,0010003.01,00000,4151,2569,25.4,2,37600,17,48.3,22.3,29.8,11.5
2021,2021S05070010003.02,0010003.02,Census tract,0010003.02,00000,4666,2366.7,21.8,2,38000,20.9,45.3,27.2,31.2,11.6
2021,2021S05070010004.01,0010004.01,Census tract,0010004.01,00000,4040,690.6,14.3,2.1,31400,24.1,62.4,26.3,39.4,17.4
2021,2021S05070010004.02,0010004.02,Census tract,0010004.02,00000,4231,1263.5,16.1,2.2,34400,22.8,50.9,21.3,22.6,11.9
2021,2021S05070010005.01,0010005.01,Census tract,0010005.01,00000,2217,2289.1,22.1,1.8,29800,28.5,51.6,27.8,24.8,12.8
2021,2021S05070010005.02,0010005.02,Census tract,0010005.02,00000,3138,3191.3,14,2,29800,28.9,61.8,30.9,32.3,12.2
2021,2021S05070010006.00,0010006.00,Census tract,0010006.00,00000,2748,2625.4,14.3,1.8,32400,24.9,62,29.6,35.7,15.8
2021,2021S05070010007.00,0010007.00,Census tract,0010007.00,00010,2395,4465,12.5,1.7,34800,23.3,61,34.2,55.7,9.3
2021,2021S05070010008.00,0010008.00,Census tract,0010008.00,00000,1551,626.4,29,1.8,38800,19.8,34.6,27,48.5,13.5
2021,2021S05070010009.00,0010009.00,Census tract,0010009.00,00000,836,1522.2,12.5,2.2,52000,10.4,42,24,63.9,11.1
2021,2021S05070010010.00,0010010.00,Census tract,0010010.00,00000,1672,2632.2,22.7,1.9,48000,11.1,36.5,24.8,69.7,7.4
