CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,DATA_QUALITY_FLAG,population_2021,population_density_km2,age_65_plus_pct,average_household_size,median_total_income_2020,low_income_lim_at_pct,renter_households_pct,shelter_cost_30pct_plus_pct,bachelor_or_higher_age25_64_pct,unemployment_rate_pct
2021,2021S05075350001.00,5350001.00,Census tract,5350001.00,00000,599,87.8,10,2.6,57200,9.6,22.4,20.8,59,7.3
2021,2021S05075350002.00,5350002.00,Census tract,5350002.00,00000,604,178,42.1,2.1,40800,11.6,10.5,22.8,54.9,14
2021,2021S05075350003.00,5350003.00,Census tract,5350003.00,00000,457,483.3,11,1.7,59200,12.8,31.5,37,60,7
2021,2021S05075350004.00,5350004.00,Census tract,5350004.00,00000,6306,18525.3,13.4,1.8,33200,22.9,92.7,43.8,34.7,19.2
2021,2021S05075350005.00,5350005.00,Census tract,5350005.00,00000,6957,18483,12.4,1.8,40000,19.8,73.7,34.9,48.9,14.7
2021,2021S05075350006.00,5350006.00,Census tract,5350006.00,00999,119,9224.8,91.7,,,,,,,
2021,2021S05075350007.01,5350007.01,Census tract,5350007.01,00000,3402,17018.5,18.1,1.8,36000,16.6,86.6,40.8,42.8,15.3
2021,2021S05075350007.02,5350007.02,Census tract,5350007.02,00000,4422,10174.9,12.7,1.8,34400,20.2,97,45.8,37,21.3
2021,2021S05075350008.01,5350008.01,Census tract,5350008.01,00000,8480,27425.6,2.2,1.6,70000,9,51.7,39.3,72.4,7.3
2021,2021S05075350008.02,5350008.02,Census tract,5350008.02,00000,11591,6052.4,5.4,1.6,61200,11.5,54.8,40.6,67.6,9.6
2021,2021S05075350009.00,5350009.00,Census tract,5350009.00,00000,520,5038.8,14.4,1.7,29800,25,100,40,35,20
2021,2021S05075350010.01,5350010.01,Census tract,5350010.01,00000,5611,22661.6,7.3,1.7,70500,8.9,41.8,30.4,70.2,6.7
2021,2021S05075350010.02,5350010.02,Census tract,5350010.02,00000,7468,13875.9,9.4,1.7,62800,11.3,46.1,33.5,65.8,7.9
2021,2021S05075350011.01,5350011.01,Census tract,5350011.01,00000,9592,20802.4,3.8,1.5,71000,12.2,57.9,40.1,75.9,6.7
2021,2021S05075350011.02,5350011.02,Census tract,5350011.02,00000,9746,33875.6,2.7,1.5,65000,14.5,62.9,45.2,81.6,8.3
2021,2021S05075350011.03,5350011.03,Census tract,5350011.03,00010,6391,27606.9,3.4,1.5,61600,16,65.3,48.3,78.3,8.5
2021,2021S05075350012.01,5350012.01,Census tract,5350012.01,00000,13554,31484.3,4.1,1.7,55200,16.1,61.4,44.7,70.1,11.1
2021,2021S05075350012.03,5350012.03,Census tract,5350012.03,00000,8957,19204.5,4.4,1.7,63200,14.4,57.6,37.5,79.3,8.6
2021,2021S05075350012.04,5350012.04,Census tract,5350012.04,00000,5688,23631.1,10.3,1.6,61200,11.1,60.5,40.4,73.5,10.8
2021,2021S05075350013.01,5350013.01,Census tract,5350013.01,00000,6820,19877.6,11.7,1.6,64000,15,65.8,34.2,75.9,9.6
2021,2021S05075350013.02,5350013.02,Census tract,5350013.02,00000,10439,24707.7,12.5,1.7,67000,13,55.3,39.6,80.1,10
2021,2021S05075350014.00,5350014.00,Census tract,5350014.00,00000,2382,5039.1,9.2,1.6,60000,20.2,59.2,50.6,82.6,10.8
2021,2021S05075350015.00,5350015.00,Census tract,5350015.00,00000,4922,17209.8,14.3,1.6,66000,13.2,49.9,35.8,75.7,12.2
2021,2021S05075350016.00,5350016.00,Census tract,5350016.00,00000,11144,17641.3,8.2,1.6,66500,11.9,47.8,34.2,72.4,10.8
2021,2021S05075350017.01,5350017.01,Census tract,5350017.01,00000,4787,5964.4,6.5,1.6,63600,13.2,46.6,36.2,70,8.9
2021,2021S05075350017.02,5350017.02,Census tract,5350017.02,00000,8710,15331.8,15.1,1.7,45200,19.1,71.7,35.9,57.9,14.1
2021,2021S05075350018.00,5350018.00,Census tract,5350018.00,00000,3633,10469.7,6.7,1.8,66000,9,51,32.7,68.5,10.3
2021,2021S05075350019.00,5350019.00,Census tract,5350019.00,00000,3269,13133.8,17.1,2.2,39200,17.3,45.6,26,48.9,11.9
2021,2021S05075350020.00,5350020.00,Census tract,5350020.00,00000,2298,3153.6,22.8,2.3,74000,5.2,14.4,23.6,73.7,12.9
2021,2021S05075350021.00,5350021.00,Census tract,5350021.00,00000,5192,5693.6,19.7,2,52400,10.9,56.5,39.1,56.5,11.5
2021,2021S05075350022.00,5350022.00,Census tract,5350022.00,00000,3847,6936.5,14,2.6,65000,6,24.4,20.9,71,11.3
2021,2021S05075350023.00,5350023.00,Census tract,5350023.00,00000,3374,4916.2,19.4,2.4,66000,6.7,23.4,25.3,70.1,11.6
2021,2021S05075350024.00,5350024.00,Census tract,5350024.00,00000,6891,9715.2,14.4,2.3,61200,8.4,39.3,27.7,61.9,9.8
2021,2021S05075350025.00,5350025.00,Census tract,5350025.00,00000,3553,6724.1,12,2.2,50000,11.2,48.6,28.5,52.5,11.3
2021,2021S05075350026.00,5350026.00,Census tract,5350026.00,00000,6409,8246.3,11.2,2.3,49200,12.2,38.2,26.3,49.5,11.3
2021,2021S05075350027.00,5350027.00,Census tract,5350027.00,00000,4405,9076.9,15.6,2.5,42000,11.1,39,22.7,49.4,15.3
2021,2021S05075350028.01,5350028.01,Census tract,5350028.01,00000,1290,6268.2,8.5,2,73000,6.2,37,26.1,68.7,4.1
2021,2021S05075350028.02,5350028.02,Census tract,5350028.02,00000,5868,12665.7,11.8,2.1,58400,9.7,37,24.6,61.5,11.2
